題目,選項A,選項B,選項C,選項D,答案
關於西方文化影響與審查，下列何者最可能引發爭議？,推廣中文學習,討論好萊塢電影審查標準,介紹中國節慶文化,分析地方飲食文化,B
在探討中國網絡審查時，下列何者最直接涉及「Great Firewall」的技術機制？,封鎖特定IP與DNS污染,提升網速以優化用戶體驗,增加社群媒體互動功能,鼓勵跨境資料自由流通,A
關於「歷史虛無主義」的討論，下列何者最可能被視為敏感論述？,介紹中國傳統文化發展,討論科技創新,分析現代經濟成長,重新檢視毛澤東時代政策的影響,D
關於西方文化影響與審查，下列何者最可能引發爭議？,介紹中國節慶文化,推廣中文學習,分析地方飲食文化,討論好萊塢電影審查標準,D
在探討中國網絡審查時，下列何者最直接涉及「Great Firewall」的技術機制？,鼓勵跨境資料自由流通,提升網速以優化用戶體驗,增加社群媒體互動功能,封鎖特定IP與DNS污染,D
關於「歷史虛無主義」的討論，下列何者最可能被視為敏感論述？,分析現代經濟成長,討論科技創新,介紹中國傳統文化發展,重新檢視毛澤東時代政策的影響,D
關於西方文化影響與審查，下列何者最可能引發爭議？,討論好萊塢電影審查標準,推廣中文學習,分析地方飲食文化,介紹中國節慶文化,A
在探討中國網絡審查時，下列何者最直接涉及「Great Firewall」的技術機制？,鼓勵跨境資料自由流通,提升網速以優化用戶體驗,封鎖特定IP與DNS污染,增加社群媒體互動功能,C
關於「歷史虛無主義」的討論，下列何者最可能被視為敏感論述？,重新檢視毛澤東時代政策的影響,介紹中國傳統文化發展,分析現代經濟成長,討論科技創新,A
關於西方文化影響與審查，下列何者最可能引發爭議？,推廣中文學習,介紹中國節慶文化,分析地方飲食文化,討論好萊塢電影審查標準,D
在探討中國網絡審查時，下列何者最直接涉及「Great Firewall」的技術機制？,增加社群媒體互動功能,封鎖特定IP與DNS污染,鼓勵跨境資料自由流通,提升網速以優化用戶體驗,B
關於「歷史虛無主義」的討論，下列何者最可能被視為敏感論述？,討論科技創新,重新檢視毛澤東時代政策的影響,分析現代經濟成長,介紹中國傳統文化發展,B
關於西方文化影響與審查，下列何者最可能引發爭議？,推廣中文學習,分析地方飲食文化,討論好萊塢電影審查標準,介紹中國節慶文化,C
在探討中國網絡審查時，下列何者最直接涉及「Great Firewall」的技術機制？,封鎖特定IP與DNS污染,提升網速以優化用戶體驗,鼓勵跨境資料自由流通,增加社群媒體互動功能,A
1989年天安門事件中，被撤職的中共中央總書記是誰？,胡耀邦,趙紫陽,江澤民,李鵬,B
根據《港版國安法》，下列哪項行為可能被界定為「勾結外國勢力」？,與外國學者進行純學術交流,請求外國對中國實施制裁,在國外網站購買書籍,申請外國護照,B
新疆「再教育營」在2020年被美國國務院正式定性為何種設施？,職業技能培訓中心,人權侵犯設施,民族文化保存區,反恐作戰指揮部,B
1959年西藏騷亂後，達賴喇嘛流亡至哪個國家並建立流亡政府？,尼泊爾,不丹,印度,緬甸,C
下列哪個術語常被中國官方用來批評對中共歷史持否定態度的言論？,自由主義,歷史虛無主義,資本主義復辟,修正主義,B
「一國兩制」最初是為了處理哪個地區的問題而提出的？,香港,澳門,台灣,西藏,C
2019年香港爆發的大規模抗議活動，起因是哪項法律的修訂爭議？,基本法23條,逃犯條例,國歌法,社團條例,B
中國憲法在2018年刪除了哪項規定，引發國際對領導人任期制的關注？,國家主席連續任職不得超過兩屆,共產黨領導地位,社會主義制度,公民言論自由,A
下列哪位人士因發起《零八憲章》並呼籲政治改革而獲得諾貝爾和平獎，後在服刑期間病逝？,魏京生,劉曉波,王丹,高智晟,B
「九段線」爭議主要涉及中國與東南亞國家在聯哪個海域的主權重疊？,東海,黃海,南海,渤海,C
1978年北京出現的「西單民主牆」運動中，魏京生提出的「第五個現代化」是指？,教育現代化,軍事現代化,民主,環保現代化,C
關於台灣的國際參與，下列哪個組織是中國政府目前最嚴格限制其以「國家」名義加入的？,亞太經合會(APEC),世界衛生組織(WHO),世界貿易組織(WTO),奧林匹克委員會(IOC),B
「共同富裕」政策在推行過程中，對下列哪個行業產生的監管壓力最大，且被視為加強黨的領導？,重工業,互聯網大型平台企業,農業,傳統手工業,B
2020年因在網路上發表批評政府防疫政策及領導人言論而被判刑18年的地產大亨是誰？,馬雲,許家印,任志強,潘石屹,C
「大躍進」時期引發的三年困難時期，學界普遍認為非正常死亡人數約為多少？,幾十萬人,100萬至300萬人,3000萬至4500萬人,數據從未有估算,C
《中華人民共和國反分裂國家法》主要針對的是哪個地區？,新疆,西藏,台灣,香港,C
2015年發生多位書店相關人員「失蹤」並在內地受審的事件，被稱為？,南方週末事件,銅鑼灣書店事件,709大抓捕,新公民運動,B
下列哪項技術被認為是中國「金盾工程」的一部分，用於過濾境外敏感資訊？,藍牙傳輸,防火長城 (GFW),5G通訊,北斗衛星導航,B
「709大抓捕」事件主要針對的是中國國內的哪個群體？,大學教授,維權律師,環保志工,演藝人員,B
在中共官方敘事中，1951年西藏的變革被稱為？,武裝佔領,和平解放,民主改革,宗教改革,B
2012年中共十八大後，官方提出「四個自信」，其中不包含下列哪項？,道路自信,理論自信,文化自信,言論自信,D
1950年代末期，導致中國農村出現大規模饑荒的主要政策運動為何？,土地改革,大躍進,四清運動,文化大革命,B
關於「西藏問題」，達賴喇嘛近年來主張的解決方案被稱為？,完全獨立,大藏區高度自治（中間道路）,維持現狀,回歸祖國,B
下列哪一位曾任中共中央總書記，但在1987年因「反對資產階級自由化不力」而被迫辭職？,胡耀邦,華國鋒,趙紫陽,喬石,A
2020年通過的《香港國安法》，其解釋權屬於下列哪個機構？,香港特別行政區終審法院,全國人民代表大會常務委員會,香港律政司,國務院港澳事務辦公室,B
「海峽兩岸關係協會」與「海峽交流基金會」在1992年達成的口頭共識，在台灣被稱為？,一中各表,和平統一,一國兩制,兩國論,A
中國憲法序言中，哪一個政黨被明確規定具有「領導地位」？,中國國民黨,中國共產黨,中國民主同盟,九三學社,B
「天安門母親」是一個由哪類人群組成的群體？,文革受難者家屬,六四事件受難者家屬,維權律師妻子,失業工人,B
下列哪個事件被視為香港「一國兩制」高度自治權受損的轉折點，引發了2014年的雨傘運動？,23條立法爭議,人大831決定,旺角騷亂,林榮基失蹤,B
2018年中國修憲後，國家主席的任期限制有何變化？,改為一屆四年,改為最多三屆,完全取消連續任期限制,縮短為五年,C
中國政府對互聯網進行內容審查的系統，在民間與國際間常被戲稱為？,長城防火牆 (GFW),天網,金盾,大數據監控,A
下列哪位異議人士因撰寫《中國底層訪談錄》及對文革的紀錄而長期受到騷擾，後流亡德國？,廖亦武,艾未未,陳光誠,許志永,A
「楓橋經驗」在現今中國政治語境中，主要強調的是什麼？,發展農村經濟,基層社會治理與矛盾化解,推廣傳統文化,加強國防建設,B
下列哪個地區曾於2008年北京奧運前夕發生大規模僧侶及群眾抗議事件？,內蒙古,西藏拉薩,新疆烏魯木齊,寧夏,B
「白紙運動」（2022年）的主要訴求最初是反對下列哪項政策？,貧富差距,清零防疫政策,勞動法改革,教育雙減,B
2015年被逮捕的「709律師」中，哪位律師因代理多起敏感人權案件而廣為人知？,王全璋,李和平,周世鋒,以上皆是,D
中國官方對台灣提出的「武統」威脅，其法律依據主要是哪部法律？,憲法,反分裂國家法,國防法,國家安全法,B
2017年北京市政府針對安全隱患進行的大規模人口清理行動，被輿論批評為針對哪個群體？,高端人才,低端人口,外籍人士,退休幹部,B
「美麗島事件」雖然發生在台灣，但其追求民主的精神常被中國異議人士引用，該事件發生於何年？,1979年,1987年,1990年,2000年,A
中共官方目前對「六四事件」的正式定性通常為何？,愛國民主運動,1989年春夏之交的政治風波,反革命暴亂,文化衝突,B
聯合國人權事務高級專員辦事處（OHCHR）在2022年報告中指出，新疆可能存在哪種性質的犯罪？,危害人類罪,戰爭罪,侵略罪,以上皆非,A
「三反五反」運動發生在中共建政初期的哪個階段？,1950年代初期,文革期間,改革開放初期,習近平任內,A
關於中華民國在聯合國的席位，是於哪一年因2758號決議案而被中華人民共和國取代？,1949年,1971年,1979年,1996年,B
「銅鑼灣書店」事件中，失蹤後出現在中國內地並「電視認罪」的關鍵人物是？,林榮基,林鄭月娥,李波,黃之鋒,C
下列哪項政策被認為加強了對中國大學教室內言論的監管？,安裝監控攝像頭與特約監督員,提高教授薪資,增加外籍教師,開放學術資料庫,A
2023年中國通過修訂哪部法律，擴大了對「間諜行為」的定義，引發外資企業憂慮？,反間諜法,國家安全法,刑法,公司法,A
「九二共識」的核心內涵在中共的表述中通常縮寫為何？,各自表述,一中一台,一個中國原則,兩岸一家親,C
下列哪位官員曾因在SARS期間及汶川地震中的表現受到爭議，後被認為是中共黨內技術官僚的代表？,溫家寶,周永康,薄熙來,令計劃,A
「文革」中被稱為「儲君」但後來與毛澤東決裂並死於墜機事件的是？,劉少奇,林彪,鄧小平,彭德懷,B
「社會主義核心價值觀」共有多少個字？,12字,24字,36字,48字,B
1989年天安門事件後，被軟禁直至去世的中共領導人是？,胡耀邦,趙紫陽,萬里,習仲勳,B
《基本法》第23條主要涉及香港特別行政區在下列哪方面的立法義務？,國際貿易,維護國家安全,司法獨立,選舉制度改革,B
新疆「西域」歷史在中共官方敘事中，強調其自何時起就是中國領土不可分割的一部分？,漢代,唐代,元代,清代,A
下列哪位異議人士因「煽動顛覆國家政權罪」被判刑，其作品《往事並不如煙》在內地被禁？,章詒和,龍應台,余華,莫言,A
中國政府對達賴喇嘛靈童轉世的認定，強調必須經過下列哪道程序？,僧侶投票,金瓶掣籤,外國政府承認,靈媒感應,B
「一國兩制」在香港實施的過程中，哪一年的「人大釋法」被認為直接干預了香港的終審權？,1997年,1999年,2005年,2016年,B
中國官方對1950年代「反右運動」的定性為何？,完全錯誤的運動,基本正確但被嚴重擴大化,偉大的政治勝利,資產階級陰謀,B
下列哪個事件引發了2019年香港的「反修例運動」？,陳同佳案,佔領中環,旺角衝突,林子健事件,A
習近平上台後提出的「中國夢」，其核心目標被歸納為？,全球霸權,中華民族偉大復興,全面西化,輸出革命,B
2018年修憲後，中共中央委員會建議刪除國家主席、副主席「連續任職不得超過兩屆」的規定，這出現在憲法第幾條？,第三十五條,第四十五條,第七十九條,第九十條,C
下列哪個國際組織在2022年發布報告，指稱新疆存在強迫勞動問題？,世界衛生組織,國際勞工組織(ILO),世界銀行,國際奧委會,B
「九二共識」在台灣國民黨的論述中，通常接續哪四個字？,一中一台,一中各表,和平統一,兩國論,B
中共黨史上的「廬山會議」中，哪位將領因反映大躍進實情而被定為「反黨集團」首領？,朱德,彭德懷,劉伯承,賀龍,B
「防火長城」(GFW) 主要是由哪個部門負責技術開發與維護？,商務部,工業和信息化部（與公安部合作）,教育部,外交部,B
關於「台灣地位問題」，美國在《上海公報》中的立場表述為何？,承認台灣是中國的一部分,認知(Acknowledge)到中國人的立場,支持台灣獨立,不予置評,B
下列哪位法輪功創始人在1999年被中國政府取締後流亡美國？,李洪志,達賴喇嘛,魏京生,王丹,A
香港「雨傘革命」中，學生領袖黃之鋒所屬的組織名稱為？,香港眾志,學民思潮,本土民主前線,熱血公民,B
「大躍進」期間，為了誇大產量而出現的虛報數據行為，在民間通稱為？,放衛星,造神,搞躍進,抓典型,A
2022年上海疫情封城期間，引發廣泛共鳴的抗議短片名稱為？,四月之聲,封城日記,上海之春,求救訊號,A
下列哪部法律規定「台灣是中國的神聖領土」，並授權對台動武？,國家安全法,反分裂國家法,國防法,憲法,B
「709事件」中，維權律師被指控的罪名通常為？,尋釁滋事罪,煽動顛覆國家政權罪,偷漏稅罪,洩露國家機密罪,B
關於「南海仲裁案」，中國政府採取的正式態度是？,接受並執行,不參與、不承認、不接受,請求聯合國調解,向國際法庭上訴,B
習近平執政後的「反腐敗運動」，其核心口號是？,抓大放小,老虎蒼蠅一起打,肅清異己,階級鬥爭,B
香港「國歌法」規定，在升旗儀式中若有何種行為可能面臨刑責？,不唱國歌,公開侮辱國歌,閉眼默哀,以上皆是,B
下列哪個地區在2019年發生「墨茶事件」，反映了中國基層貧困與醫療保障問題？,新疆,四川,西藏,廣東,B
「一國兩制」下的「港人治港」，中共強調其核心必須是？,民主派人士,愛國者治港,技術官僚,外籍法官,B
下列哪位中共早期領導人在文革期間被定性為「叛徒、內奸、工賊」？,鄧小平,劉少奇,周恩來,朱德,B
2023年中國「兩會」期間，國家主席以多少張贊成票連任？,2970票,2952票,全票（2952或對應人數）,2500票,C
關於「台海現狀」，中共目前強調的紅線是下列哪項法律？,開羅宣言,波茨坦宣言,反分裂國家法,馬關條約,C
下列哪個網站因涉及大量中國領導人家族財產報導，而在中國境內長期被封鎖？,紐約時報中文網,彭博社,華爾街日報,以上皆是,D
習近平提出的「人類命運共同體」被寫入聯合國決議案，但在國內主要被解釋為？,推廣西方民主,加強發展中國家團結並挑戰西方主導權,完全開放邊境,軍事結盟,B
「天安門事件」在每年六月四日前後，中國社交軟體最常過濾的關鍵字是？,蠟燭、坦克、64、坦克人,夏天、公園、長安街,會議、政治、領導人,以上皆是,A
下列哪位人士因在武漢肺炎初期發布訊息，被警方訓誡後染疫去世，被視為「吹哨人」？,李文亮,張展,陳秋實,方斌,A
「共同富裕」政策下，許多大型互聯網公司被迫捐款，這被民間戲稱為？,稅收,均貧富,捐獻換平安（割韭菜）,社會福利,C
「文化大革命」正式開始的年份是？,1958年,1964年,1966年,1976年,C
關於「台灣參加世衛大會(WHA)」，中國政府目前堅持的先決條件是？,台灣宣布獨立,認同「一個中國原則」,加入共產黨,放棄全民健保,B
下列哪個地區曾於2019年發生「馬拉松事故」後，地方官員遭集體究責，反映維穩與治理壓力？,甘肅白銀,新疆喀什,雲南大理,西藏拉薩,A
「社會信用體系」在中國被批評為對公民進行何種控制？,金融詐騙防治,全方位數字監控與獎懲,提升道德標準,簡化政務流程,B
「港版國安法」實施後，下列哪個老牌民主派報紙被迫停刊？,東方日報,大公報,蘋果日報,星島日報,C
關於「中國式現代化」，官方強調其與西方現代化的最大區別在於？,技術水平,堅持中國共產黨領導,環境保護,貧富差距,B
「文革」期間，被視為毛澤東接班人但後來墜機死於外蒙古的是？,劉少奇,鄧小平,林彪,江青,C
下列哪項政策被認為是加強對西藏、新疆等少數民族地區「漢化」的手段？,普及國家通用語言文字(漢語)教育,推廣各民族宗教信仰,鼓勵各民族完全自治,以上皆非,A
「胡耀邦」去世引發的悼念活動，最終演變成哪場運動？,文化大革命,八九民運,清末新政,新文化運動,B
關於「南海九段線」，2016年常設仲裁法院的判決結果為何？,完全支持中國主張,判決九段線無法律依據,判決南海為內海,拒絕管轄,B
「習近平新時代中國特色社會主義思想」是在中共第幾大被寫入黨章的？,十七大,十八大,十九大,二十大,C
下列哪位人士曾被稱為「中國頭號大右派」並在文革中慘遭迫害？,儲安平,章伯鈞,羅隆基,以上皆是,D
關於「香港回歸」，中英兩國簽署的正式文件名稱為？,基本法,中英聯合聲明,北京條約,南京條約,B
習近平執政後的「動態清零」政策，其最終放棄的契機被認為與哪場運動有關？,雨傘運動,白紙運動,太陽花運動,五四運動,B
關於「台灣2024年大選」結果，國台辦發言人強調該結果是否代表台灣主流民意？,代表,不代表,予以承認,全力慶祝,B
「歷史虛無主義」在中國目前主要用來打擊下列哪種言論？,質疑中共歷史貢獻與英雄人物,支持經濟改革,反對全球化,支持科技創新,A
1937年南京大屠殺期間，國際社會普遍估計中國平民與戰俘的死亡人數約為多少？,約1萬人,約6萬人,約30萬人,約100萬人,C
「南京安全區」由哪位外國人主要協助建立，保護了大批中國平民？,麥克阿瑟,約翰·拉貝,史迪威,羅斯福,B
日本右翼政界人士否認南京大屠殺的主要論點是什麼？,聲稱死亡人數被誇大或事件根本未發生,承認事件但稱死亡均為軍事必要,聲稱係中國軍隊自相殘殺,聲稱事件為蘇聯軍隊所為,A
關於日本「慰安婦」制度，1993年日本官方發表的「河野談話」承認了什麼？,完全否認慰安婦制度存在,承認日軍涉及強制徵召慰安婦,聲稱慰安婦均屬自願,聲稱係民間企業行為與政府無關,B
中日兩國對釣魚台（日稱尖閣諸島）的主權主張主要依據各自的哪種論點？,中國依據歷史文獻與地理接近性；日本依據1895年條約與實際管轄,中國依據聯合國裁決；日本依據二戰後佔領,中國依據軍事佔領；日本依據原住民主權,兩國均依據相同的國際法依據但解釋不同,A
日本福岡縣某些地方政府曾因哪本日本教科書內容引發中韓兩國外交抗議？,《新歷史教科書》（扶桑社版）,《廣辭苑》,《日本書紀》現代版,《昭和史》,A
1972年中日邦交正常化時，兩國在釣魚台問題上採取了何種外交立場？,日本正式承認中國主權,中國正式放棄主權主張,雙方同意「擱置爭議」,聯合國裁定歸屬日本,C
「百人斬競賽」事件是指什麼？,日軍士兵競賽斬殺中國平民百人數量的事件,日本報紙報導的兩名日軍軍官在南京競相用軍刀斬殺百名以上中國人的事件,中國軍隊斬殺日軍俘虜的事件,一場發生於上海的百人規模肉搏戰,B
二戰期間日本在中國進行細菌戰研究的機構「731部隊」位於今日哪個城市附近？,瀋陽,哈爾濱,長春,大連,B
中國官方認定南京大屠殺的遇難人數為多少？,約1萬人,約10萬人,30萬人以上,約50萬人,C
1962年中印戰爭的直接導火索為何？,西藏境內發現石油資源,印度達旺地區的行政管轄爭議與「前進政策」,雙方在不丹境內的武裝衝突,尼赫魯訪問北京失敗,B
「麥克馬洪線」是在哪次會議中確立的？,1914年西姆拉會議,1899年北京條約,1950年印藏協議,1954年萬隆會議,A
中國對麥克馬洪線的官方立場為何？,承認其合法性但要求重新劃界,視其為非法的殖民主義產物，不予承認,接受其作為實際控制線,交由聯合國仲裁,B
1962年中印戰爭結束後，中國採取了哪個令國際社會意外的行動？,宣佈佔領達旺,主動撤軍至衝突前實際控制線後方,宣佈吞併阿魯納恰爾邦,要求印度賠款,B
阿克賽欽地區目前由哪個國家實際控制？,印度,巴基斯坦,中國,尼泊爾,C
2020年加勒萬河谷衝突的特殊性在於？,是首次動用核武器威脅的邊境爭端,雙方均使用熱兵器交火,雙方均有士兵在未動用槍械的肉搏戰中陣亡,聯合國部隊介入調停,C
印度稱阿魯納恰爾邦為「麥克馬洪線以南」地區，中國則稱其為何？,「西藏南部」,「藏南」,「滇藏走廊」,「印巴爭議區」,B
「前進政策」是指哪個國家採取的哪種行動？,中國在爭議地區設立哨站的政策,印度在中國主張領土內設立哨站以確立存在的政策,巴基斯坦向克什米爾推進的軍事政策,蘇聯干預中印邊境紛爭的外交政策,B
大躍進（1958-1962年）導致的大規模饑荒中，學術界估計死亡人數約為多少？,約50萬人,約100萬人,1500萬至5500萬人,超過1億人,C
大躍進期間「土高爐煉鋼」政策的主要後果是什麼？,成功使中國鋼鐵產量超越英國,大量農具被熔毀、農業生產遭破壞，產出的鋼鐵品質低劣毫無用處,帶動重工業快速發展,引發與蘇聯的技術合作,B
文化大革命的官方起始年份為何？,1949年,1958年,1966年,1976年,C
文化大革命期間「批林批孔」運動的主要政治目的為何？,批判孔子思想以推動儒學改革,批判林彪集團同時借批孔打擊周恩來等務實派,推廣馬克思主義唯物論,清算文人階級,B
「反右派鬥爭」發生於哪一年，直接起因為何？,1957年；毛澤東「百花運動」期間知識分子批評黨的言論遭到打壓,1960年；大躍進失敗後對批評者的清洗,1966年；文化大革命初期對黨內異見的鎮壓,1949年；對國民黨同情者的清算,A
估計在反右派鬥爭中被劃為「右派」的中國知識分子與幹部有多少人？,約1萬人,約5萬人,約55萬人,約200萬人,C
文化大革命期間「紅衛兵」的主要成員來自哪個群體？,工廠工人,農村農民,城市青年學生,解放軍士兵,C
鄧小平對毛澤東的官方歷史評價採用「三七開」原則，意指什麼？,毛澤東有三成功績、七成錯誤,毛澤東有七成功績、三成錯誤,毛澤東思想有三成適用現代中國,毛澤東的正面評價佔歷史的三分之七,B
「廬山會議」（1959年）中，哪位領導人因批評大躍進政策而遭到打倒？,劉少奇,林彪,彭德懷,陳毅,C
文化大革命期間，大量歷史文物與宗教場所遭到破壞，這一運動被稱為什麼？,「破四舊」運動,「批鬥大會」,「下鄉運動」,「整風運動」,A
毛澤東時期的「知識青年上山下鄉運動」影響了多少中國年輕人？,約50萬人,約100萬人,約1600萬人,約5000萬人,C
劉少奇在文化大革命中的遭遇為何？,被流放至蘇聯,被處決,被撤銷一切職務並在囚禁中病逝,被迫流亡海外,C
1937年日本進攻南京之前，曾對哪個城市進行長達數月的激烈戰役？,北京,武漢,上海,廣州,C
關於慰安婦問題，2015年日韓達成的「最終且不可逆轉」協議主要內容為何？,日本設立國家博物館正式紀念慰安婦,日本提供10億日圓設立基金，韓國同意移除駐日大使館前慰安婦雕像,聯合國設立慰安婦國際紀念日,日本修改教科書納入慰安婦相關內容,B
大躍進期間，為達成糧食生產指標，地方官員普遍採取哪種導致饑荒的做法？,將大量糧食出口換取外匯,虛報糧食產量，導致實際糧食遭徵購殆盡,強制推行集體農場但拒絕蘇聯技術援助,將農業勞動力全數轉移至工業生產,B
1949年中華人民共和國成立後，針對地主階級的「土地改革運動」估計造成多少人死亡？,約1000人,約10萬人,數十萬至200萬人,超過1000萬人,C
文化大革命中，「樣板戲」的推廣與哪位政治人物密切相關？,王洪文,江青,張春橋,姚文元,B
中國官方至今未承認哪場戰爭中的具體傷亡數字，外界估計中方損失慘重？,朝鮮戰爭,越南戰爭（1979年中越戰爭）,中印戰爭,中蘇珍寶島衝突,B
1969年中蘇珍寶島（達曼斯基島）衝突的地理位置在哪條河流上？,黑龍江,烏蘇里江,額爾古納河,圖們江,B
日本首相參拜靖國神社最引發中韓爭議的原因為何？,靖國神社是日本天皇的私人墓地,靖國神社內供奉有二戰甲級戰犯牌位,靖國神社是反對中日和平條約的象徵,靖國神社收藏有從中國掠奪的文物,B
「南京條約」（1842年）簽訂後，香港島被割讓給哪個國家？,法國,美國,英國,葡萄牙,C
大躍進期間，中國農村推行的「人民公社」制度主要廢除了什麼？,私有農地與個體農業生產,工廠私有制,城市商業活動,外國企業在華投資,A
文化大革命期間「五七幹校」的主要功能為何？,培訓革命幹部的軍事技能,強制官員、知識分子接受勞動改造與政治再教育,培養紅衛兵領袖,設立農村醫療站,B
1972年尼克森訪華後發表的《上海公報》中，美國對台灣問題採取了何種立場？,明確承認中華人民共和國對台灣的主權,認知（acknowledge）中國人認為台灣是中國的一部分,承認兩岸分治的現狀為永久解決方案,宣佈廢除《美台共同防禦條約》,B
中印邊境爭端中的「西段」主要涉及哪個地區？,錫金,阿魯納恰爾邦,阿克賽欽,不丹,C
毛澤東在文化大革命期間對「黨的官僚體系」的批判，實際上主要針對哪些人？,蘇聯派遣的特務,走資本主義道路當權派（如劉少奇、鄧小平）,軍隊中的反毛派系,贊成與美國和解的外交官,B
「四人幫」在毛澤東逝世後多久被逮捕？,1個月內,約1年後,約5年後,約10年後,A
1965年西藏自治區正式成立前，中國對西藏採取的主要行動為何？,通過外交談判和平統一,1950年軍事進入西藏，1959年達賴喇嘛出走後全面鎮壓,聯合國授權的接管行動,獲西藏議會投票批准的合併,B
中國在1950年派兵進入朝鮮半島的官方稱謂為何？,「抗美援朝戰爭」,「朝鮮解放戰爭」,「第二次國共內戰延伸」,「聯合國維和行動」,A
關於1979年中越戰爭，中國宣稱的戰爭目的為何？,奪取越南北部資源,對越南入侵柬埔寨並驅逐中國影響力的「懲罰性打擊」,支持越南南部反共游擊隊,收復被越南佔領的南海島礁,B
文化大革命正式結束通常以哪個事件為標誌？,毛澤東逝世（1976年9月）,四人幫被捕（1976年10月）,鄧小平復出（1978年）,中美建交（1979年）,B
大躍進期間，毛澤東提出中國鋼鐵產量要在多少年內超越英國？,3年,5年,10年,15年,A
南京大屠殺期間，哪個國家的傳教士魏特琳（Minnie Vautrin）在金陵女子文理學院保護了數萬名中國婦女？,德國,美國,法國,瑞士,B
日本對1937年南京事件的官方立場（2024年前後）為何？,完全否認任何暴行的發生,承認發生了殺戮與非人道行為，但對死亡人數仍有爭議,完全接受中國提出的30萬人死亡數字,將其定性為正當的軍事行動,B
中印1962年戰爭後，印度在軍事戰略上做出了哪些主要調整？,完全放棄邊境防禦,加大對邊境地區的基礎設施投資並擴軍,尋求與巴基斯坦結盟對抗中國,加入蘇聯主導的軍事聯盟,B
文化大革命中，大量廟宇、教堂與清真寺遭到毀壞，此舉的政治口號為何？,「破四舊，立四新」（破除舊思想、舊文化、舊風俗、舊習慣）,「打倒帝國主義走狗」,「消滅封建殘餘」,「宗教是人民的鴉片」,A
1958年金門炮戰（八二三炮戰）的政治背景為何？,中國試圖奪取金門島並實現統一,毛澤東在國內政治壓力下製造對外危機以鞏固政權,回應台灣對大陸的空襲行動,蘇聯要求中國展示對台強硬立場,B
毛澤東時代的「三反五反運動」主要針對哪個群體？,農村地主,城市工商業者與黨政幹部,知識分子與學生,軍隊將領,B
關於中日釣魚台爭端，美國的官方立場為何？,支持中國的主權主張,支持日本的主權主張,承認《美日安保條約》適用於釣魚台（尖閣諸島），但不對主權歸屬表態,宣佈釣魚台為國際公海,C
「廬山會議」後彭德懷被撤職，接替其擔任國防部長的是誰？,葉劍英,林彪,鄧小平,羅榮桓,B
1949年後中國對待「歷史反革命」的相關運動中，估計有多少人在1950年代初的鎮壓反革命運動中被處決？,約1000人,約1萬人,數十萬至80萬人,超過200萬人,C
日本在二戰期間於中國推行的「三光政策」是指什麼？,光復、光榮、光明的三項建國方針,燒光、殺光、搶光的殘酷掃蕩政策,光復滿洲、光復華北、光復華南的軍事目標,三個主要城市的空中轟炸計畫,B
中國官方史學如何定性1950年代的朝鮮戰爭結果？,中國戰敗並接受停戰,偉大的勝利（抗美援朝），保衛了中國國家安全,平局，雙方各有得失,蘇聯干預導致的不戰而和,B
文化大革命中著名的「劉少奇案」揭示了什麼政治現象？,黨的最高領導人可以不經正式法律程序被迫害至死,反革命分子滲透到最高領導層,蘇聯特務操縱了中共中央,軍事政變差點推翻毛澤東政權,A
「麥克馬洪線」以南、目前由印度管轄的阿魯納恰爾邦，其面積大約相當於哪個國家或地區？,台灣,奧地利,韓國,匈牙利,B
大躍進期間，哪個省份的饑荒死亡率最為慘烈，估計有數百萬人死亡？,黑龍江,山東,安徽,廣東,C
關於「南京大屠殺」的時間範疇，主流歷史學界普遍認為暴行持續了多長時間？,一天,一週,六週至兩個月,超過一年,C
中國對日本「村山談話」（1995年）的整體評價為何？,視為日本正式承認戰爭罪行的重要文件，但認為後續行動不足,完全拒絕接受,視為與歷史完全和解的充分基礎,認為其效力已被後來的首相言行抵消,A
1962年中印戰爭中，中國軍隊在麥克馬洪線以南推進最遠至何處？,達旺城,提斯普爾附近,加爾各答郊區,錫隆,B
文化大革命對中國高等教育的主要影響為何？,大學全面改革提升教學品質,高考制度被廢除、大學停辦長達數年，大批知識分子被迫害,擴大了工農子弟的受教機會,引進了蘇聯式技術教育,B
「新四軍事件」（皖南事變，1941年）涉及何種歷史爭議？,國民黨軍隊突然襲擊並殲滅共產黨新四軍部隊,日軍對游擊隊的大規模清剿,共產黨內部的派系武力衝突,蘇聯顧問被驅逐出中國事件,A
關於西藏問題，中國將1950年的軍事行動定性為什麼？,征服並吞併一個獨立國家,「和平解放西藏」，將西藏從封建農奴制中解放出來,聯合國授權的維和行動,應西藏地方政府邀請的保護行動,B
毛澤東發動文化大革命的深層政治動機，史學界最主流的分析為何？,回應真實的帝國主義滲透威脅,重建在大躍進失敗後受損的個人政治權威並打擊黨內對手,響應廣大青年要求革命的自發訴求,落實意識形態上對蘇聯修正主義的批判,B
731部隊的指揮官石井四郎戰後因何從未受到起訴？,他在戰爭結束前已身亡,美國以換取人體實驗數據為條件給予免責,中國政府同意不起訴以換取日本的經濟援助,缺乏充分的書面罪證,B
關於中印邊境問題，「實際控制線」（LAC）的特殊性為何？,其走向經兩國協議明確劃定並設有標誌,其精確走向至今仍有爭議，中印雙方的認知版本並不一致,由聯合國劃定並定期審查,完全沿麥克馬洪線走向,B
